car_id,min_price,max_price,structure,emission,gearbox,fc,baidu_index
0,14.98,29.98,三厢,1.8T 2.0T,手自一体,8-8L,15763
1,10.28,19.68,三厢,1.5T 1.6T 1.8T,手动 双离合,6-7L,12421
2,19.93,21.93,三厢,1.0L,固定齿比,2-2L,16900
3,6.98,11.98,三厢,1.3T 1.6L,手动 自动,6-6L,900
4,10.18,14.38,两厢,1.6L,手动 手自一体,6-7L,22312
5,6.98,10.28,三厢,1.5T 1.6L,手动 无级,7-8L,6043
6,5.58,8.18,三厢,1.5L,手动 无级,6-6L,31600
7,24.98,47.98,三厢,1.8T 2.0T 3.0L,手自一体,10-10L,800
8,11.99,18.98,SUV,2.0T 2.4L,手动 自动,9-12L,2148
9,11.97,17.67,三厢,1.8T 2.0T,手动 自动,8-9L,1488
10,36.8,51.8,SUV,2.0T,手自一体,8-8L,12824
11,6.08,10.28,MPV,1.5L 1.5T 1.8L,手动 AMT,7-8L,83996
12,3.99,7.88,两厢 三厢,1.3L 1.5L 1.6L,手动,6-8L,6700
13,5.48,8.28,两厢,1.3L 1.5L,手动 自动,6-7L,31800
14,2.68,5.94,两厢,0.8L 1.0L 1.1L,手动 AMT,6-7L,46900
15,14.48,18.98,SUV,2.0L,手动 手自一体,8-10L,19100
16,10.99,15.99,三厢,1.4T 1.5L,手动 双离合 手自一体,6-8L,35399
17,5.99,12.19,SUV,1.5L 1.5T,手动 双离合,6-6L,11500
18,5.18,5.38,三厢,1.3L 1.5L,手动,6-6L,220
19,5.19,10.19,三厢,1.5L 1.8L,手动 手自一体,6-6L,24000
20,9.48,12.58,两厢 三厢,1.6L 2.0L,手动 手自一体,6-8L,7700
21,13.99,18.99,SUV,1.4T,手动 手自一体,7-8L,6300
22,3.88,4.18,两厢,1.0L,手动,5-5L,10500
23,6.58,8.48,三厢,1.5L 1.8L,手动 无级,6-9L,24700
24,17.98,26.88,SUV,2.0L 2.5L,手动 无级,7-10L,44100
25,5.29,6.49,三厢,1.5L,手动,6-6L,9700
26,5.98,8.75,两厢,1.2L 1.5L,手动 自动,6-7L,12051
27,6.97,8.97,三厢,1.4T 1.5L 1.6L,手动 自动 双离合,6-8L,5300
28,5.97,8.57,三厢,1.5L,手动 手自一体,6-6L,4181
29,6.98,10.93,MPV,1.5L 1.6L 1.8L 2.0L,手动 自动,8-8L,804
30,12.98,17.68,三厢,1.6T 1.8L 2.0L,手动 双离合 手自一体,6-8L,90077
31,7.38,11.68,SUV,1.5T 1.6L,手动 无级,7-8L,26552
32,6.49,9.99,SUV,1.5L 1.8L,手动 手自一体,7-7L,17501
33,7.79,12.99,三厢,1.4T 1.5L 1.5T,手动 自动 双离合 手自一体,6-8L,6577
34,5.48,8.47,两厢,1.3L 1.5L 1.6L,手动 自动,7-7L,13077
35,15.98,18.98,MPV,1.8L,无级,7-8L,13300
36,9.28,16.28,SUV,1.5T 1.8T 2.0L,手动 手自一体,7-10L,9900
37,6.78,9.98,三厢,1.3L 1.5L,手动 自动,6-7L,6100
38,3.1,3.5,两厢 三厢,1.0L,手动,6-6L,29200
39,6.99,11.99,两厢,1.4L 1.4T 1.6L,手动 自动 双离合,6-6L,6500
40,9.69,13.99,SUV,1.5T 2.0T,手动 手自一体,8-9L,19800
41,42.28,62.98,三厢,2.0T 3.0T,手自一体,7-10L,11700
42,23.48,26.78,三厢,2.5L,无级,8-8L,3599
43,5.29,8.29,两厢 三厢,1.4L 1.5L,手动 自动,6-8L,400
44,7.98,11.98,三厢,1.5L,手动 无级,5-6L,4900
45,10.98,16.48,SUV,1.4T 1.6L,手动 无级 手自一体,6-6L,32300
46,17.98,26.79,三厢,2.0L 2.4L,无级 无级 双离合,4-9L,15800
47,4.89,5.89,客车,1.5L,手动,6-6L,122
48,8.89,20.98,三厢,2.0L 2.4L,手动 手自一体,8-10L,24426
49,7.99,9.59,三厢,1.5T 1.6L,手动 无级,6-8L,100
50,5.79,7.49,三厢,1.5L,手动 自动,6-7L,20489
51,3.18,3.61,客车,1.0L 1.2L,手动,6-6L,493
52,31.28,48.9,三厢,1.6T 2.0T,手自一体,6-10L,72100
53,36.98,62.53,SUV,2.7L 3.5L,手动 手自一体,12-13L,12500
54,5,6.88,两厢 三厢,1.3L 1.4L 1.5L 1.6L,手动 手自一体,7-8L,53774
55,12.85,15.85,三厢,E,固定齿比,0-0L,9691
56,7.59,14.69,两厢,1.4L 1.4T 1.6L,手动 自动 双离合 手自一体,6-8L,null
57,11.98,18.68,SUV,1.6L 1.6T 2.0L,手动 双离合 手自一体,7-8L,24521
58,11.48,14.98,SUV,1.6L 2.0L,手动 无级,6-8L,null
59,22.98,35.48,MPV,2.4L,无级,8-9L,7100
60,5.99,10.99,SUV,1.5T 1.6L,手动 手自一体,8-8L,12858
61,7.59,14.69,两厢,1.4L 1.4T 1.6L,手动 自动 双离合 手自一体,6-8L,null
62,5.48,6.78,两厢,1.5L,手动 AMT,6-7L,677
63,5.29,7.69,三厢,1.5L,手动 无级,6-7L,2000
64,8.98,11.48,三厢,1.6L,手动 自动,7-8L,null
65,10.98,14.68,SUV,2.0L,手动 手自一体,9-11L,2500
66,5.69,6.59,两厢,1.4L,手动 AMT,6-8L,33854
67,7.59,14.69,两厢,1.4L 1.4T 1.6L,手动 自动 双离合 手自一体,6-8L,null
68,17.58,29.88,三厢,2.0L 2.5L,无级,7-10L,1200
69,12.98,16.98,SUV,2.0T 2.3T,手动 手自一体,9-11L,4300
70,6.08,6.98,SUV,2.0L,手动,6-11L,1902
71,3.99,5.19,两厢,1.2L,手动,6-6L,8067
72,9.88,14.98,SUV,2.0T,手动 手自一体,8-8L,19852
73,8.98,9.88,三厢,1.6L,手动 自动,7-9L,28300
74,6.98,8.58,两厢,1.6L,手动 自动,6-7L,5400
75,14.98,22.28,SUV,2.0L 2.4L,手动 手自一体,8-9L,2900
76,7.88,12.08,三厢,1.6L,手动 自动,6-8L,41100
77,7.75,16.18,SUV,1.5T 2.0T,手动 自动,7-8L,null
78,10.88,20.18,三厢,1.8T 2.0L,手动 手自一体,8-9L,5900
79,30.89,49.88,三厢,2.8L 3.0L 3.6L,手自一体,11-12L,0
80,10.98,14.38,SUV,2.0T,手动,9-9L,16349
81,13.78,18.49,两厢,1.4T,双离合,5.7L,61400
82,6.99,10.99,两厢,1.4L 1.6L,手动 自动,6-8L,61800
83,15.88,18.38,三厢,1.5L,自动,2-2L,2749
84,7.78,10.88,SUV,1.3T 1.8L,手动 双离合,6-7L,37900
85,12.89,16.95,两厢,1.8L 1.8T,手动 手自一体,8-10L,1700
86,7.39,10.69,三厢,1.4L 1.6L,手动 自动,6-7L,26400
87,11.29,16.29,两厢,1.2T 1.4T 1.6L,手动 双离合 手自一体,6-7L,400
88,2.5,5.09,客车,1.0L 1.2L 1.3L,手动,8-8L,1894
89,20.98,27.28,SUV,2.0T,手自一体,10-12L,4700
90,14.68,19.78,SUV,2.4L,手动,10-12L,1097
91,18.88,25.68,SUV,2.0T,手自一体,10-11L,3400
92,14.98,19.38,SUV,2.0T,双离合,8-8L,24615
93,8.88,14.68,SUV,1.3T 1.5T 2.0T,手动 双离合 手自一体,7-10L,1900
94,9.48,16.38,SUV,2.0L 2.0T,手动 手自一体,7-10L,22000
95,8.68,11.88,SUV,1.5T,手动 手自一体,7-9L,6300
96,5.49,7.89,SUV,1.5L,手动 AMT,6-6L,7600
97,9.99,13.49,两厢,1.6L,手动 无级,5-8L,22900
98,10.59,14.39,三厢,1.6L,手动 无级,5-6L,1300
99,9.88,15.78,SUV,1.8T 2.0L,手动 手自一体,7-8L,106473
100,9.98,14.78,SUV,1.8T 2.0L,手动 手自一体,8-10L,4800
101,23.88,37.98,SUV,2.5L 2.5T,无级,8-11L,2100
102,35.99,53.99,SUV,2.0T,手自一体,8-9L,11459
103,5.58,6.88,三厢,1.5L,手动 AMT,6-6L,8200
104,10.98,15.98,三厢,1.2T 1.8L,手动 无级 无级,4-6L,80017
105,5.19,7.09,MPV,1.5L,手动,7-7L,6100
106,18.78,32.98,三厢,2.0L 2.5L,无级 手自一体,5-10L,null
107,3.34,5.28,两厢,1.0L 1.1L 1.3L,手动 AMT,6-7L,15449
108,34.99,47.99,三厢,2.0T,手自一体,9-10L,9100
109,4.78,5.98,两厢,1.5L,手动,7-7L,21802
110,7.99,10.89,SUV,1.6L 1.8T 2.0L,手动 无级,7-8L,25900
111,25.13,51.88,SUV,2.0T,双离合,2-2L,37200
112,10.38,12.78,两厢,1.6L,手动 手自一体,7-8L,15618
113,13.98,21.98,SUV,1.2T 2.0L,手动 无级,6-7L,6044
114,2.08,2.58,两厢,0.8L,手动,5-6L,7604
115,17.97,21.97,三厢,1.8T,手自一体,7-7L,2890
116,10.78,17.58,三厢,1.2T 1.6L 1.8L,手动 无级 无级,4-8L,23700
117,10.88,17.18,SUV,1.2T 1.6L 1.6T,手动 手自一体,5-7L,7400
118,3.45,4.5,客车,1.0L 1.2L,手动,6-8L,6800
119,7.37,11.58,SUV,1.8T 2.0L,手动 手自一体,7-10L,4800
120,6.28,8.98,两厢 三厢,1.5L,手动 自动,6-7L,3150
121,7.8,18.3,客车,2.0L 2.4L 2.5T,手动,9-9L,1877
122,10.88,19.69,三厢,1.8L 2.0L,手动 自动 手自一体,8-9L,42174
123,7.39,10.99,两厢 三厢,1.4L 1.6L,手动 手自一体,6-7L,2200
124,29.98,43,三厢,2.0T,双离合,6-10L,1600
125,8.38,9.98,三厢,1.6L 1.8L,手动 手自一体,8-8L,561
126,3.19,4.68,客车,1.0L 1.3L,手动,7-7L,2518
127,2.99,3.99,客车,1.0L 1.2L,手动,7-7L,2523
128,4.78,5.28,客车,1.5L,手动,8-8L,2516
129,7.58,8.58,三厢,1.6L,手动 自动,7-8L,null
130,17.98,28.98,三厢,1.8T 2.0T,双离合,8-9L,2900
131,41.88,74.6,三厢,1.8T 2.5L 3.0T,无级 双离合,6-11L,1000
132,7.38,11.28,两厢,1.5L,手动 无级,5-7L,700
133,17.98,31.98,三厢,1.5T 2.0L 2.0T,无级 手自一体,4-8L,5000
134,16.69,24.99,三厢,2.0L 2.4L,手自一体,8-8L,30300
135,12.08,18.88,SUV,2.0T 2.4T,手动 自动,7-9L,null
136,4.29,5.99,客车,1.5L,手动,7-7L,1565
137,24.28,26.18,两厢,E,固定齿比,0-0L,1002
138,5.28,6.78,SUV,1.3L 1.5L,手动 AMT,6-7L,null
139,9.58,11.18,三厢,1.6L,手动 手自一体,7-9L,1800
140,5.69,6.79,三厢,1.5L,手动 AMT,6-7L,5500
141,23.48,36.98,三厢,1.5T 2.0T 2.7T,手自一体,7-9L,12739
142,3.88,4.45,客车,1.3L,手动,7-8L,201
143,14.59,22.89,三厢,1.4T 1.8T 2.0T,手动 双离合,6-7L,55249
144,3.09,4.43,客车,1.0L 1.1L,手动,7-8L,333
145,10.99,15.99,三厢,1.4T 1.5L,手动 双离合 手自一体,6-8L,35400
146,11.29,16.29,两厢 三厢,1.5L 2.0L,手动 手自一体,6-6L,7759
147,3.88,16.98,两厢,1.0L 1.3L,手动 AMT 固定齿比,6-7L,16115
148,4.88,6.28,两厢,1.3L,手动 AMT,6-9L,245
149,3.08,3.49,客车,1.2L,手动,6-8L,83300
150,17.98,19.48,三厢,2.3L,手自一体,10-10L,35600
151,6.98,7.68,三厢,1.6L,手动,8-10L,13100
152,3.68,6.98,两厢,1.0L 1.3L 1.5L,手动 自动 AMT,5-8L,15100
153,9.98,15.98,SUV,1.4T 1.6L,手动 手自一体,6-6L,21158
154,4.18,7.78,三厢,1.3L,手动 自动,7-7L,29000
155,6.59,10.29,三厢,1.5L 1.6L 2.0L,手动 无级,6-8L,8128
156,21.98,21.98,SUV,E,固定齿比,0-0L,1006
157,15.99,23.99,SUV,1.6T 2.0L,手动 双离合 手自一体,7-11L,9300
158,4.8,8.77,两厢,1.5L,AMT,6-8L,null
159,22.99,44.99,MPV,2.0T 2.5L,手自一体,8-12L,4800
160,19.98,27.38,SUV,2.3T 2.5L,手自一体,9-12L,8958
161,16.98,24.58,SUV,2.0L 2.5L,手动 手自一体,7-8L,300
162,4.38,6.38,SUV,1.3L 1.5L 1.6L,手动,7-7L,3400
163,9.98,18.28,三厢,1.8L 1.8T,手动 双离合 手自一体,7-8L,32300
164,13.18,21.88,三厢,1.2T 1.4T 1.6L 2.0T,手动 双离合 手自一体,6-9L,126758
165,8.99,16.99,两厢 三厢,1.4T 1.5L 1.6L 1.6T,手动 双离合 手自一体,6-8L,null
166,12.28,16.98,SUV,2.0L,手动 无级,8-9L,13844
167,7.99,12.29,两厢 三厢,1.0T 1.5L,手动 双离合,6-7L,26800
168,15.98,24.98,三厢,1.6T 2.0L 2.0T,手动 双离合 手自一体,5-8L,28600
169,12.88,18.88,三厢,1.6T 1.8L 2.0L,手动 双离合 手自一体,7-8L,31506
170,9.68,15.08,三厢,1.4T 1.6L,手动 双离合 手自一体,6-7L,6100
171,20.98,31.58,SUV,2.0L 2.4L,手自一体,8-8L,100
172,17.37,26.97,三厢,1.6T 1.8T 2.0L,手动 手自一体,7-9L,29100
173,9.98,14.98,三厢,1.8T 2.0L,手动 手自一体,8-9L,22200
174,5.39,6.79,三厢,1.3T 1.5L,手动 手自一体,6-7L,23600
175,7.48,11.38,三厢,1.5L 1.5T,手动 无级,7-7L,26140
176,8.49,13.89,两厢 三厢,1.4L 1.4T 1.6L,手动 自动 双离合,6-7L,7100
177,39.8,57.8,SUV,2.0T,手自一体,8-8L,5600
178,14.58,20.18,三厢,1.8T 2.0T,手自一体,8-10L,7448
179,6.38,8.98,两厢,1.0L 1.3L,手动 自动,7-7L,3087
180,7.5,36.67,SUV,1.5T,手动 无级,7-8L,6700
181,8.38,12.08,三厢,1.6L,手动 手自一体,6-8L,35100
182,28.6,43.9,SUV,1.5T 2.0T,手自一体,6-9L,19100
183,6.58,9.28,三厢,1.6L,手动 手自一体,6-7L,10260
184,8.58,9.58,三厢,1.6L,手动 手自一体,7-8L,24100
185,25.28,34.28,三厢,1.8T 2.0T 3.0L,双离合,8-9L,12956
186,6.98,8.68,MPV,1.6L,手动,8-8L,248
187,3.88,16.98,两厢,1.0L 1.3L,手动 AMT 固定齿比,6-7L,null
188,9.98,17.99,两厢,1.4T 1.6L,手动 双离合 手自一体,6-8L,117229
189,7.99,12.29,两厢 三厢,1.0T 1.5L,手动 双离合,6-7L,null
190,4.18,6.19,两厢,1.0L,手动 自动,5-6L,30100
191,8.18,11.78,三厢,1.4T 1.6L,手动 手自一体,6-8L,30700
192,3.59,5.39,客车,1.3L 1.5L,手动,7-8L,12000
193,11.29,16.29,两厢 三厢,1.5L 2.0L,手动 手自一体,6-6L,null
194,3.1,3.5,两厢 三厢,1.0L,手动,6-6L,null
195,3,3.5,两厢,1.0L,手动,6-6L,3122
196,18.98,25.98,三厢,2.0T 3.0L,手自一体,12-13L,5035
197,9.98,17.98,三厢,2.0L 2.0T,手动 手自一体,10-10L,42400
198,6.98,10.48,两厢,1.3L 1.5L,手动 无级,5-6L,400
199,39.6,57.9,SUV,2.0T,手自一体,7-8L,29466
200,6.97,8.97,三厢,2.0L,手动 手自一体,7-7L,5345
201,3.4,4.4,客车,1.0L 1.2L,手动,7-8L,200
202,8.97,12.97,三厢,1.6L 1.8L,手动 手自一体,7-8L,1483
203,13.59,20.59,两厢 三厢,1.5L 1.5T,手动 双离合 手自一体,6-6L,22000
204,6.5,10.48,两厢,1.4L 1.6L,手动 自动,5-6L,null
205,8.99,16.99,两厢 三厢,1.4T 1.5L 1.6L 1.6T,手动 双离合 手自一体,6-8L,1500
206,3.87,4.37,客车,1.3L,手动,7-8L,291
207,16.98,27.28,两厢,1.4T 1.8T 2.0T,手动 双离合,6-8L,3000
208,14.99,22.99,两厢,1.2T 1.6T 1.8T,手自一体,6-7L,null
209,7.08,8.08,MPV,1.6L,手动,9-9L,3566
210,7.99,10.39,SUV,1.5T 1.6L,手动 手自一体,7-7L,1200
211,6.29,7.99,三厢,1.3L 1.5L,手动 AMT,5-6L,2600
212,9.48,12.58,两厢 三厢,1.6L 2.0L,手动 手自一体,6-8L,null
213,20.48,26.88,三厢,1.8T 2.0T 2.3T,手自一体,9-9L,140
214,36.98,42.98,SUV,3.0L,手自一体,12-13L,null
215,11.98,16.88,三厢,1.8T 2.0T,手动 手自一体,8-8L,1511
216,4.29,4.69,两厢,1.5L,手动,6-7L,15400
217,6.98,11.48,MPV,1.5T 2.0L 2.4L,手动 手自一体,9-10L,12200
218,13.28,19.28,MPV,2.0L,手动,9.2L,709
219,13.98,21.58,三厢,1.8T 2.0T 2.3T,手自一体,9-10L,300
220,5.59,7.59,SUV,1.5L,手动 自动,6-7L,895
221,3.98,4.98,两厢,1.0L 1.2L,手动,5-6L,27800
222,22.98,33.98,三厢,1.5T 1.8L 2.0T,无级 双离合 手自一体,5-10L,3900
223,10.98,14.98,三厢,1.8L,手动 无级,6-7L,0
224,37.8,55.8,SUV,2.0T 3.0L,手自一体,8-11L,27800
225,7.68,10.98,三厢,1.5T,手动 无级,6-8L,8700
226,12.38,22.98,SUV,1.8T 2.0L,手动 手自一体,9-10L,null
227,7.99,11.69,三厢,1.4L 1.6L,手动 自动,6-7L,1300
228,9.98,16.18,SUV,1.3T 1.5T,手动 双离合 手自一体,6-7L,48600
229,10.78,12.38,MPV,1.6L,手动 无级,7-8L,17441
230,3.79,5.09,两厢,1.0L,手动 AMT,5-7L,null
