,car_name,price,structure,emission,gearbox,fc, bdi_num
0,广汽传祺GA8,14.98-29.98万,三厢,1.8T 2.0T,手自一体,8-8L,15763
1,广汽传祺GA6,10.28-19.68万,三厢,1.5T 1.6T 1.8T,手动 双离合,6-7L,12421
2,广汽传祺GA5,19.93-21.93万,三厢,1.0L,固定齿比,2-2L,16900
3,广汽传祺GA3,6.98-11.98万,三厢,1.3T 1.6L,手动 自动,6-6L,900
4,起亚K3S,10.18-14.38万,两厢,1.6L,手动 手自一体,6-7L,22312
5,海马M6,6.98-10.28万,三厢,1.5T 1.6L,手动 无级,7-8L,6043
6,海马M3,5.58-8.18万,三厢,1.5L,手动 无级,6-6L,31600
7,红旗H7,24.98-47.98万,三厢,1.8T 2.0T 3.0L,手自一体,10-10L,800
8,猎豹Q6,11.99-18.98万,SUV,2.0T 2.4L,手动 自动,9-12L,2148
9,华泰B11,11.97-17.67万,三厢,1.8T 2.0T,手动 自动,8-9L,1488
10,路虎发现神行,36.80-51.80万,SUV,2.0T,手自一体,8-8L,12824
11,宝骏730,6.08-10.28万,MPV,1.5L 1.5T 1.8L,手动 AMT,7-8L,83996
12,力帆520,3.99-7.88万,两厢 三厢,1.3L 1.5L 1.6L,手动,6-8L,6700
13,铃木雨燕,5.48-8.28万,两厢,1.3L 1.5L,手动 自动,6-7L,31800
14,奇瑞QQ3,2.68-5.94万,两厢,0.8L 1.0L 1.1L,手动 AMT,6-7L,46900
15,起亚智跑,14.48-18.98万,SUV,2.0L,手动 手自一体,8-10L,19100
16,别克英朗,10.99-15.99万,三厢,1.4T 1.5L,手动 双离合 手自一体,6-8L,null
17,比亚迪元,5.99-12.19万,SUV,1.5L 1.5T,手动 双离合,6-6L,11500
18,力帆530,5.18-5.38万,三厢,1.3L 1.5L,手动,6-6L,220
19,吉利海景,5.19-10.19万,三厢,1.5L 1.8L,手动 手自一体,6-6L,24000
20,马自达3星骋两厢,9.48-12.58万,两厢 三厢,1.6L 2.0L,手动 手自一体,6-8L,7700
21,别克昂科拉,13.99-18.99万,SUV,1.4T,手动 手自一体,7-8L,6300
22,江淮悦悦,3.88-4.18万,两厢,1.0L,手动,5-5L,10500
23,奇瑞E5,6.58-8.48万,三厢,1.5L 1.8L,手动 无级,6-9L,24700
24,日产奇骏,17.98-26.88万,SUV,2.0L 2.5L,手动 无级,7-10L,44100
25,奇瑞E3,5.29-6.49万,三厢,1.5L,手动,6-6L,9700
26,日产玛驰,5.98-8.75万,两厢,1.2L 1.5L,手动 自动,6-7L,12051
27,东风风神A60,6.97-8.97万,三厢,1.4T 1.5L 1.6L,手动 自动 双离合,6-8L,5300
28,东风风神A30,5.97-8.57万,三厢,1.5L,手动 手自一体,6-6L,4181
29,陆风风尚,6.98-10.93万,MPV,1.5L 1.6L 1.8L 2.0L,手动 自动,8-8L,804
30,现代名图,12.98-17.68万,三厢,1.6T 1.8L 2.0L,手动 双离合 手自一体,6-8L,90077
31,海马S5,7.38-11.68万,SUV,1.5T 1.6L,手动 无级,7-8L,26552
32,一汽骏派D60,6.49-9.99万,SUV,1.5L 1.8L,手动 手自一体,7-7L,17501
33,MG名爵锐行,7.79-12.99万,三厢,1.4T 1.5L 1.5T,手动 自动 双离合 手自一体,6-8L,6577
34,哈飞赛马,5.48-8.47万,两厢,1.3L 1.5L 1.6L,手动 自动,7-7L,13077
35,丰田逸致,16.28万,MPV,1.8L,无级,7-8L,13300
36,长安CS75,9.28-16.28万,SUV,1.5T 1.8T 2.0L,手动 手自一体,7-10L,9900
37,理念S1,6.78-9.98万,三厢,1.3L 1.5L,手动 自动,6-7L,6100
38,一汽夏利A+三厢,3.10-3.50万,两厢 三厢,1.0L,手动,6-6L,29200
39,斯柯达昕动,6.99-11.99万,两厢,1.4L 1.4T 1.6L,手动 自动 双离合,6-6L,6500
40,东南DX7,9.69-13.99万,SUV,1.5T 2.0T,手动 手自一体,8-9L,19800
41,奔驰E级,42.28-62.98万,三厢,2.0T 3.0T,手自一体,7-10L,11700
42,日产西玛,23.48-26.78万,三厢,2.5L,无级,8-8L,3599
43,铃木利亚纳两厢,5.29-8.29万,两厢 三厢,1.4L 1.5L,手动 自动,6-8L,400
44,本田锋范,7.98-11.98万,三厢,1.5L,手动 无级,5-6L,4900
45,铃木锋驭,10.98-16.48万,SUV,1.4T 1.6L,手动 无级 手自一体,6-6L,32300
46,本田思铂睿,17.98-26.79万,三厢,2.0L 2.4L,无级 无级 双离合,4-9L,15800
47,福田伽途ix5,4.89-5.89万,客车,1.5L,手动,6-6L,122
48,吉利EC8,8.89-20.98万,三厢,2.0L 2.4L,手动 手自一体,8-10L,24426
49,奇瑞艾瑞泽7,7.99-9.59万,三厢,1.5T 1.6L,手动 无级,6-8L,100
50,奇瑞艾瑞泽3,5.79-7.49万,三厢,1.5L,手动 自动,6-7L,20489
51,福田伽途V3,3.18-3.61万,客车,1.0L 1.2L,手动,6-6L,493
52,奔驰C级,31.28-48.90万,三厢,1.6T 2.0T,手自一体,6-10L,72100
53,丰田普拉多,36.98-62.53万,SUV,2.7L 3.5L,手动 手自一体,12-13L,12500
54,一汽威志三厢,5.00-6.88万,两厢 三厢,1.3L 1.4L 1.5L 1.6L,手动 手自一体,7-8L,53774
55,江淮iEV,12.85-15.85万,三厢,暂无,固定齿比,暂无,9691
56,大众Polo GTI,7.59-14.69万,两厢,1.4L 1.4T 1.6L,手动 自动 双离合 手自一体,6-8L,null
57,现代ix25,11.98-18.68万,SUV,1.6L 1.6T 2.0L,手动 双离合 手自一体,7-8L,24521
58,三菱新劲炫 ASX,11.48-14.98万,SUV,1.6L 2.0L,手动 无级,6-8L,null
59,本田奥德赛,22.98-35.48万,MPV,2.4L,无级,8-9L,7100
60,长安CX70,5.99-10.99万,SUV,1.5T 1.6L,手动 手自一体,8-8L,12858
61,大众Polo,7.59-14.69万,两厢,1.4L 1.4T 1.6L,手动 自动 双离合 手自一体,6-8L,null
62,中华H220,5.48-6.78万,两厢,1.5L,手动 AMT,6-7L,677
63,江淮和悦A30,5.29-7.69万,三厢,1.5L,手动 无级,6-7L,2000
64,起亚赛拉图,8.98-11.48万,三厢,1.6L,手动 自动,7-8L,null
65,起亚狮跑,10.98-14.68万,SUV,2.0L,手动 手自一体,9-11L,2500
66,长安CX20,5.69-6.59万,两厢,1.4L,手动 AMT,6-8L,33854
67,大众Cross Polo,7.59-14.69万,两厢,1.4L 1.4T 1.6L,手动 自动 双离合 手自一体,6-8L,null
68,日产天籁,17.58-29.88万,三厢,2.0L 2.5L,无级,7-10L,1200
69,北京北京40,12.98-16.98万,SUV,2.0T 2.3T,手动 手自一体,9-11L,4300
70,华泰经典圣达菲,6.08-6.98万,SUV,2.0L,手动,6-11L,1902
71,启辰R30,3.99-5.19万,两厢,1.2L,手动,6-6L,8067
72,北汽绅宝X65,9.88-14.98万,SUV,2.0T,手动 手自一体,8-8L,19852
73,现代伊兰特,8.98-9.88万,三厢,1.6L,手动 自动,7-9L,28300
74,启辰R50,6.98-8.58万,两厢,1.6L,手动 自动,6-7L,5400
75,现代ix35,14.98-22.28万,SUV,2.0L 2.4L,手动 手自一体,8-9L,2900
76,现代悦动,7.88-12.08万,三厢,1.6L,手动 自动,6-8L,41100
77,华泰新圣达菲,7.75-16.18万,SUV,1.5T 2.0T,手动 自动,7-8L,null
78,长安睿骋,10.88-20.18万,三厢,1.8T 2.0L,手动 手自一体,8-9L,5900
79,别克林荫大道,30.89-49.88万,三厢,2.8L 3.0L 3.6L,手自一体,11-12L,0
80,威麟X5,10.98-14.38万,SUV,2.0T,手动,9-9L,16349
81,奥迪A3 Sportback,13.78-18.49万元,两厢,1.4T,双离合,5.7L,61400
82,斯柯达晶锐,6.99-10.99万,两厢,1.4L 1.6L,手动 自动,6-8L,61800
83,荣威e550,23.98万,三厢,1.5L,自动,2-2L,2749
84,吉利新帝豪,7.78-10.88万,SUV,1.3T 1.8L,手动 双离合,6-7L,37900
85,中华酷宝,12.89-16.95万,硬顶跑车,1.8L 1.8T,手动 手自一体,8-10L,1700
86,现代瑞纳三厢,7.39-10.69万,三厢,1.4L 1.6L,手动 自动,6-7L,26400
87,大众朗行,11.29-16.29万,两厢,1.2T 1.4T 1.6L,手动 双离合 手自一体,6-7L,400
88,长安商用长安之星,2.50-5.09万,客车,1.0L 1.2L 1.3L,手动,8-8L,1894
89,哈弗H9,20.98-27.28万,SUV,2.0T,手自一体,10-12L,4700
90,猎豹CS6,14.68-19.78万,SUV,2.4L,手动,10-12L,1097
91,哈弗H8,18.88-25.68万,SUV,2.0T,手自一体,10-11L,3400
92,哈弗H7,14.98-19.38万,SUV,2.0T,双离合,8-8L,24615
93,哈弗H6,8.88-14.68万,SUV,1.3T 1.5T 2.0T,手动 双离合 手自一体,7-10L,1900
94,哈弗H5,9.48-16.38万,SUV,2.0L 2.0T,手动 手自一体,7-10L,22000
95,哈弗H2,8.68-11.88万,SUV,1.5T,手动 手自一体,7-9L,6300
96,哈弗H1,5.49-7.89万,SUV,1.5L,手动 AMT,6-6L,7600
97,日产骐达,9.99-13.49万,两厢,1.6L,手动 无级,5-8L,22900
98,日产全新蓝鸟,10.59-14.39万,三厢,1.6L,手动 无级,5-6L,1300
99,吉利博越,9.88-15.78万,SUV,1.8T 2.0L,手动 手自一体,7-8L,106473
100,奔腾X80,9.98-14.78万,SUV,1.8T 2.0L,手动 手自一体,8-10L,4800
101,日产楼兰,23.88-37.98万,SUV,2.5L 2.5T,无级,8-11L,2100
102,凯迪拉克XT5,35.99-53.99万,SUV,2.0T,手自一体,8-9L,11459
103,中华H230,5.58-6.88万,三厢,1.5L,手动 AMT,6-6L,8200
104,丰田雷凌,10.98-15.98万,三厢,1.2T 1.8L,手动 无级 无级,4-6L,80017
105,长安商用欧尚,5.19-7.09万,MPV,1.5L,手动,7-7L,6100
106,丰田凯美瑞混动,18.78-32.98万,三厢,2.0L 2.5L,无级 手自一体,5-10L,null
107,哈飞路宝,3.34-5.28万,两厢,1.0L 1.1L 1.3L,手动 AMT,6-7L,15449
108,凯迪拉克XTS,34.99-47.99万,三厢,2.0T,手自一体,9-10L,9100
109,奇瑞旗云2,4.78-5.98万,掀背,1.5L,手动,7-7L,21802
110,东风风行景逸,7.99-10.89万,SUV,1.6L 1.8T 2.0L,手动 无级,7-8L,25900
111,比亚迪唐,25.13-51.88万,SUV,2.0T,双离合,2-2L,37200
112,起亚秀尔,10.38-12.78万,两厢,1.6L,手动 手自一体,7-8L,15618
113,雷诺科雷嘉,13.98-21.98万,SUV,1.2T 2.0L,手动 无级,6-7L,6044
114,众泰江南TT,2.08-2.58万,两厢,0.8L,手动,5-6L,7604
115,东风风神东风A9,17.97-21.97万,三厢,1.8T,手自一体,7-7L,2890
116,丰田卡罗拉,10.78-17.58万,三厢,1.2T 1.6L 1.8L,手动 无级 无级,4-8L,23700
117,雪铁龙C3-XR,10.88-17.18万,SUV,1.2T 1.6L 1.6T,手动 手自一体,5-7L,7400
118,开瑞优优,3.45-4.50万,客车,1.0L 1.2L,手动,6-8L,6800
119,华泰宝利格,7.37-11.58万,SUV,1.8T 2.0L,手动 手自一体,7-10L,4800
120,欧朗欧朗三厢,6.28-8.98万,两厢 三厢,1.5L,手动 自动,6-7L,3150
121,福田蒙派克E,7.80-18.30万,客车,2.0L 2.4L 2.5T,手动,9-9L,1877
122,雪佛兰景程,10.88-19.69万,三厢,1.8L 2.0L,手动 自动 手自一体,8-9L,42174
123,雪佛兰爱唯欧两厢,7.39-10.99万,两厢 三厢,1.4L 1.6L,手动 手自一体,6-7L,2200
124,奥迪A4L,29.98-43.00万,三厢,2.0T,双离合,6-10L,1600
125,哈飞赛豹V系,8.38-9.98万,三厢,1.6L 1.8L,手动 手自一体,8-8L,561
126,长安商用长安之星2,3.19-4.68万,客车,1.0L 1.3L,手动,7-7L,2518
127,长安商用长安之星3,2.99-3.99万,客车,1.0L 1.2L,手动,7-7L,2523
128,长安商用长安之星9,4.78-5.28万,客车,1.5L,手动,8-8L,2516
129,铃木天语尚悦,7.58-8.58万,三厢,1.6L,手动 自动,7-8L,null
130,荣威950,17.98-28.98万,三厢,1.8T 2.0T,双离合,8-9L,2900
131,奥迪A6L,41.88-74.60万,三厢,1.8T 2.5L 3.0T,无级 双离合,6-11L,1000
132,本田飞度,7.38-11.28万,两厢,1.5L,手动 无级,5-7L,700
133,福特蒙迪欧,17.98-31.98万,三厢,1.5T 2.0L 2.0T,无级 手自一体,4-8L,5000
134,现代索纳塔八,16.69-24.99万,三厢,2.0L 2.4L,手自一体,8-8L,30300
135,江铃驭胜,12.08-18.88万,SUV,2.0T 2.4T,手动 自动,6.8-8.9L,null
136,开瑞优雅2代,4.29-5.99万,客车,1.5L,手动,7-7L,1565
137,启辰晨风,24.28-26.18万,两厢,暂无,固定齿比,暂无,1002
138,瑞麒X1,5.28-6.78万,SUV,1.3L 1.5L,手动 AMT,6-7L,null
139,雪铁龙经典世嘉,9.58-11.18万,三厢,1.6L,手动 手自一体,7-9L,1800
140,东南V3菱悦,5.69-6.79万,三厢,1.5L,手动 AMT,6-7L,5500
141,福特金牛座,23.48-36.98万,三厢,1.5T 2.0T 2.7T,手自一体,7-9L,12739
142,东风郑州日产俊风,3.88-4.45万,客车,1.3L,手动,7-8L,201
143,大众凌渡,14.59-22.89万,三厢,1.4T 1.8T 2.0T,手动 双离合,6-7L,55249
144,开瑞优胜2代,3.09-4.43万,客车,1.0L 1.1L,手动,7-8L,333
145,别克英朗XT,10.99-15.99万,三厢,1.4T 1.5L,手动 双离合 手自一体,6-8L,35400
146,马自达3Axela昂克赛拉 两厢,11.29-16.29万,两厢 三厢,1.5L 2.0L,手动 手自一体,6-6L,7759
147,瑞麒M1,3.88-16.98万,两厢,1.0L 1.3L,手动 AMT 固定齿比,6-7L,16115
148,瑞麒M5,4.88-6.28万,掀背,1.3L,手动 AMT,暂无,245
149,五菱之光,3.08-3.49万,客车,1.2L,手动,6-8L,83300
150,福特致胜,17.98-19.48万,三厢,2.3L,手自一体,10-10L,35600
151,三菱蓝瑟,6.98-7.68万,三厢,1.6L,手动,8-10L,13100
152,吉利熊猫,3.68-6.98万,两厢,1.0L 1.3L 1.5L,手动 自动 AMT,5-8L,15100
153,铃木维特拉,9.98-15.98万,SUV,1.4T 1.6L,手动 手自一体,6-6L,21158
154,铃木羚羊,4.18-7.78万,三厢,1.3L,手动 自动,7-7L,29000
155,东风风行景逸S50,6.59-10.29万,三厢,1.5L 1.6L 2.0L,手动 无级,6-8L,8128
156,江淮iEV6S,21.98万,SUV,暂无,固定齿比,暂无,1006
157,现代全新途胜,15.99-23.99万,SUV,1.6T 2.0L,手动 双离合 手自一体,7-11L,9300
158,MG3SW,8.77万,两厢,1.5L,AMT,6-8L,null
159,别克GL8,22.99-44.99万,MPV,2.0T 2.5L,手自一体,8-12L,4800
160,马自达CX-7,19.98-27.38万,SUV,2.3T 2.5L,手自一体,9-12L,8958
161,马自达CX-5,16.98-24.58万,SUV,2.0L 2.5L,手动 手自一体,7-8L,300
162,众泰2008,4.38-6.38万,SUV,1.3L 1.5L 1.6L,手动,7-7L,3400
163,荣威550,9.98-18.28万,三厢,1.8L 1.8T,手动 双离合 手自一体,2-10L,32300
164,大众速腾,13.18-21.88万,三厢,1.2T 1.4T 1.6L 2.0T,手动 双离合 手自一体,6-9L,126758
165,雪佛兰科鲁兹掀背,8.99-16.99万,两厢 三厢 掀背,1.4T 1.5L 1.6L 1.6T,手动 双离合 手自一体,6-8L,null
166,东风风度MX6,12.28-16.98万,SUV,2.0L,手动 无级,8-9L,13844
167,福特嘉年华两厢,7.99-12.29万,两厢 三厢,1.0T 1.5L,手动 双离合,6-7L,26800
168,起亚K5,15.98-24.98万,三厢,1.6T 2.0L 2.0T,手动 双离合 手自一体,5-8L,28600
169,起亚K4,12.88-18.88万,三厢,1.6T 1.8L 2.0L,手动 双离合 手自一体,7-8L,31506
170,起亚K3,9.68-15.08万,三厢,1.4T 1.6L,手动 双离合 手自一体,6-7L,6100
171,Jeep自由光,20.98-31.58万,SUV,2.0L 2.4L,手自一体,8-8L,100
172,标致508,17.37-26.97万,三厢,1.6T 1.8T 2.0L,手动 手自一体,7-9L,29100
173,奔腾B70,9.98-14.98万,三厢,1.8T 2.0L,手动 手自一体,8-9L,22200
174,吉利远景,5.39-6.79万,三厢,1.3T 1.5L,手动 手自一体,6-7L,23600
175,北汽绅宝D50,7.48-11.38万,三厢,1.5L 1.5T,手动 无级,7-7L,26140
176,大众桑塔纳-浩纳,8.49-13.89万,两厢 三厢,1.4L 1.4T 1.6L,手动 自动 双离合,6-7L,7100
177,路虎揽胜极光,39.80-57.80万,SUV,2.0T,手自一体,8-8L,5600
178,奔腾B90,14.58-20.18万,三厢,1.8T 2.0T,手自一体,8-10L,7448
179,一汽威姿,6.38-8.98万,两厢,1.0L 1.3L,手动 自动,7-7L,3087
180,众泰SR7,7.50-36.67万,SUV,1.5T,手动 无级,7-8L,6700
181,雪铁龙全新爱丽舍,8.38-12.08万,三厢,1.6L,手动 手自一体,6-8L,35100
182,宝马X1,28.60-43.90万,SUV,1.5T 2.0T,手自一体,6-9L,19100
183,奔腾B30,6.58-9.28万,三厢,1.6L,手动 手自一体,6-7L,10260
184,中华H530,8.58-9.58万,三厢,1.6L,手动 手自一体,7-8L,24100
185,大众CC,25.28-34.28万,三厢,1.8T 2.0T 3.0L,双离合,8-9L,12956
186,长丰骐菱,6.98-8.68万,MPV,1.6L,手动,8-8L,248
187,瑞麒M1-EV,3.88-16.98万,两厢,1.0L 1.3L,手动 AMT 固定齿比,6-7L,null
188,斯柯达明锐,9.98-17.99万,掀背,1.4T 1.6L,手动 双离合 手自一体,6-8L,117229
189,福特嘉年华三厢,7.99-12.29万,两厢 三厢,1.0T 1.5L,手动 双离合,6-7L,null
190,铃木奥拓,4.18-6.19万,两厢,1.0L,手动 自动,5-6L,30100
191,奔腾B50,8.18-11.78万,三厢,1.4T 1.6L,手动 手自一体,6-8L,30700
192,长安商用长安欧诺,3.59-5.39万,客车,1.3L 1.5L,手动,7-8L,12000
193,马自达3Axela昂克赛拉 三厢,11.29-16.29万,两厢 三厢,1.5L 2.0L,手动 手自一体,6-6L,null
194,一汽夏利N3两厢,3.10-3.50万,两厢 三厢,1.0L,手动,6-6L,null
195,众泰Z100,3.00-3.50万,两厢,1.0L,手动,6-6L,3122
196,瑞麒G6,18.98-25.98万,三厢,2.0T 3.0L,手自一体,12-13L,5035
197,瑞麒G5,9.98-17.98万,三厢,2.0L 2.0T,手动 手自一体,10-10L,42400
198,丰田YARiS L 致炫,6.98-10.48万,两厢,1.3L 1.5L,手动 无级,5-6L,400
199,奔驰GLC级,39.60-57.90万,SUV,2.0T,手自一体,7-8L,29466
200,华泰路盛E70,6.97-8.97万,三厢,2.0L,手动 手自一体,7-7L,5345
201,开瑞优优2代,3.40-4.40万,客车,1.0L 1.2L,手动,7-8L,200
202,东风风神L60,8.97-12.97万,三厢,1.6L 1.8L,手动 手自一体,7-8L,1483
203,别克威朗,13.59-20.59万,两厢 三厢,1.5L 1.5T,手动 双离合 手自一体,6-6L,22000
204,起亚RIO,6.50-10.48万,暂无,暂无,暂无,暂无,null
205,雪佛兰科鲁兹,8.99-16.99万,两厢 三厢 掀背,1.4T 1.5L 1.6L 1.6T,手动 双离合 手自一体,6-8L,1500
206,哈飞中意V5,3.87-4.37万,客车,1.3L,手动,7-8L,291
207,斯柯达速派,16.98-27.28万,掀背,1.4T 1.8T 2.0T,手动 双离合,6-8L,3000
208,DS4S,14.99-22.99万,两厢,1.2T 1.6T 1.8T,手自一体,6-7L,null
209,众泰M300,7.08-8.08万,MPV,1.6L,手动,9-9L,3566
210,长安CS35,7.99-10.39万,SUV,1.5T 1.6L,手动 手自一体,7-7L,1200
211,雪佛兰赛欧三厢,6.29-7.99万,三厢,1.3L 1.5L,手动 AMT,5-6L,2600
212,马自达3星骋,9.48-12.58万,两厢 三厢,1.6L 2.0L,手动 手自一体,6-8L,null
213,北汽绅宝D80,20.48-26.88万,三厢,1.8T 2.0T 2.3T,手自一体,9-9L,140
214,三菱帕杰罗,36.98-42.98万,SUV,3.0L,手自一体,12-13L,null
215,北汽绅宝D60,11.98-16.88万,三厢,1.8T 2.0T,手动 手自一体,8-8L,1511
216,奇瑞风云2两厢,4.29-4.69万,两厢,1.5L,手动,6-7L,15400
217,长城V80,6.98-11.48万,MPV,1.5T 2.0L 2.4L,手动 手自一体,9-10L,12200
218,东风郑州日产御轩,13.28-19.28万,MPV,2.0L,手动,9.2L,709
219,北汽绅宝D70,13.98-21.58万,三厢,1.8T 2.0T 2.3T,手自一体,9-10L,300
220,昌河Q25,5.59-7.59万,SUV,1.5L,手动 自动,6-7L,895
221,宝骏乐驰,3.98-4.98万,两厢,1.0L 1.2L,手动,5-6L,27800
222,别克君越,22.98-33.98万,三厢,1.5T 1.8L 2.0T,无级 双离合 手自一体,5-10L,3900
223,本田凌派,10.98-14.98万,三厢,1.8L,手动 无级,6-7L,0
224,奔驰GLK级,37.80-55.80万,SUV,2.0T 3.0L,手自一体,8-11L,27800
225,众泰Z500,7.68-10.98万,三厢,1.5T,手动 无级,6-8L,8700
226,广汽传祺GS5,12.38-22.98万,SUV,1.8T 2.0L,手动 手自一体,9-10L,null
227,斯柯达昕锐,7.99-11.69万,三厢,1.4L 1.6L,手动 自动,6-7L,1300
228,广汽传祺GS4,9.98-16.18万,SUV,1.3T 1.5T,手动 双离合 手自一体,6-7L,48600
229,日产NV200,10.78-12.38万,MPV,1.6L,手动 无级,7-8L,17441
